Title,Text
Artists' secret postcards on sale,"Postcards by artists including Damien Hirst and Tracey Emin have sold just hours after the opening of the Royal Academy of Arts annual Secrets sale.

The identity of the artist remains unknown until each work is bought and the signature is revealed on the back. ""There are still some big names left, such as Mario Testino,"" said RCA spokeswoman Sue Bradburn. All postcards are priced at £35. The sale opened at 8am on Friday and will close at 6pm on Saturday. Ms Bradburn said there was a big queue at the start of the sale but it had now gone down.

She said the people that had bought the famous name postcards had arrived early and had spent time studying each work. ""They would have known what to look for."" The exhibition has been open for viewing since 19 November. Film director Ken Loach, fashion designer Hussein Chalayan and former Blur guitarist Graham Coxon have all designed postcards for the sale. Some of the contributing artists are students or recent graduates of the Royal College of Art and other leading art colleges. Money raised from the sale will go towards the RCA's Fine Art Student Award Fund which supports students with grants and bursaries. The famous sale is now in its 11th year."
Neeson in bid to revive theatre,"
Hollywood film star Liam Neeson has held a dinner party in New York to promote Belfast's Lyric Theatre.

The Ballymena-born actor said that the theatre on Ridgeway Street was in a ""very dilapidated condition"". Lyric chairman David Johnston has said that rebuilding the theatre, at a cost of £8m is the only answer. Mr Neeson said that the idea was to get a bunch of ""healthy, wealthy Irish Americans"" in one room and ask them to help with fundraising.

The Oscar-nominated actor, whose films include Schindler's List, Michael Collins and Star Wars: The Phantom Menace, said: ""The Lyric is too important to the cultural and social life of Northern Ireland for this building to crumble and fall apart. ""It gave me a start professionally. Mary O'Malley, the founder of the theatre, gave me my future. ""In those days, in the mid-70s, when I was there, we were doing a play every four weeks. ""Belfast was not a pretty town to be living in. ""There was serious trouble, as you know, but this theatre was like a Belisha beacon of light and hope six nights a week, doing everything from Shakespeare to Yeats to O'Casey with a group of actors and actresses that affected me very deeply and still do."" The Lyric began 50 years ago but the doors opened at its present site on the Stranmillis embankment overlooking the River Lagan in 1968.

As well as Liam Neeson, it also launched the careers of Adrian Dunbar and Stephen Rea and playwrights such as Martin Lynch and Gary Mitchell. Speaking to BBC Northern Ireland before the event at New York's SoHo House, Mr Neeson said that his spirit belonged to the Glens of Antrim. And he said that there was one figure from his childhood that he would love to portray on the big screen - Ian Paisley. He said that the DUP leader and preacher was a ""very dynamic, extraordinary figure"". Neeson used to listen to his sermons on a Friday night in Ballymena. He said: ""What an orator. He was from that old school of bible-thumping righteousness. But it was so dramatic. I found him very powerful. ""I'd love to get a chance to play him some time."""
Levy takes Whitbread novel prize,"Orange Prize winner Andrea Levy has seen her book Small Island win the Whitbread Novel of the Year Award.

She is now favourite to win the overall prize after beating Booker winner Alan Hollinghurst's The Line of Beauty. Geraldine McCaughrean has picked up the children's fiction award for the third time for Not the End of the World. All the category winners go through to compete for the Whitbread Book of the Year title, which carries with it a £25,000 prize. A panel of judges including Sir Trevor McDonald, actor Hugh Grant and writer Joanne Harris will meet up on 25 January to decide the overall winner, with the announcement being made later that evening.

Bookmaker William Hill has placed London-based Levy's novel as the 6/4 favourite to win.

Small Island, Levy's fourth novel, is set in post-war England and centres on a landlady and her lodgers. One is a Jamaican who joined British troops to fight Hitler but finds life difficult out of uniform when he settles in London. The judges, who included authors Jenny Colgan and Amanda Craig, were full of praise for her writing. ""What could have been a didactic or preachy prospect turns out to hilarious, moving humane and eye-popping. It's hard to think of anybody not enjoying it,"" wrote the judges. The first novel section was won by Susan Fletcher for Eve Green, beating the favourite Jonathan Strange and Mr Norrell by Susanna Clarke. Fletcher has recently graduated from graduated from the University of East Anglia creative writing course. Waterstone's fiction writer buyer Suzie Doore said: ""It is great to see Susan Fletcher win in the first novel category. As a relatively unknown author this award will give her exposure to a wider and mass audience that she may not have reached and is a perfect example of the influence of the Whitbread. ""Fresh out of university she is certainly one to watch.""

In the biography category it was John Guy's The Life of Mary Queen of Scots that was picked as winner. The judges called it ""an impressive and readable piece of scholarship, which cannot fail but leave the reader moved and intrigued by this most tragic and likeable of queens"". Guy has published many histories, including Tudor England. He is a fellow at Clare College, Cambridge and became a honorary research professor of the University of St Andrews in 2003. Michael Symmons Roberts' fourth collection of poems scooped the poetry award. His works mixes mysticism, erotica and philosophy through life, death and resurrection. As well as writing poetry, Symmons Roberts also makes documentary films. Children's winner McCaughrean, who went into magazine publishing after studying teaching, previously won the Whitbread Prize in 1987 with A Little Lower than Angels and in 1994 with Gold Dust. She has previously been the winner of the Blue Peter Book of the Year."
Adventure tale tops awards,"Young book fans have voted Fergus Crane, a story about a boy who is taken on an adventure by a flying horse, the winner of two Smarties Book Prizes.

Paul Stewart and Chris Riddell's book came top in the category for six- to eight-year-olds and won the award chosen by after-school club members. Sally Grindley's Spilled Water, about a Chinese girl sold as a servant, was top in vote of readers aged nine to 11. Biscuit Bear by Mini Grey took the top award in the under-five category. Winners were voted for by about 6,000 children from a shortlist picked by an adult panel.

The prize, which is celebrating its 20th year, is billed as ""the UK's biggest children's book award"". Fergus Crane includes text by Stewart and illustrations by Riddell, who also created The Edge Chronicles together. As well as the six to eights prize, it won the 4Children Special Award voted for by after-school club members. Julia Eccleshare, chair of the adult judging panel, said children's literature had ""never looked stronger"" in the prize's 20 years. ""This award counts because the final choice of winners is made by children, who are the toughest critics of all,"" she said. ""This year's young judges chose the winners from an exceptionally strong and varied shortlist which showcases the very best in children's books today."" Previous winners have included JK Rowling, Jacqueline Wilson and Dick King-Smith."
Mutant book wins Guardian prize,"A book about the evolution of mutants and the science of abnormality has won the Guardian First Book Award 2004.

Armand Marie Leroi, a lecturer at London's Imperial College, scooped the £10,000 prize for Mutants: On the form, varieties and errors of the human body. ""It is profoundly cultured and beautifully written in the very best tradition of popular science writing today,"" said judge Claire Armistead. The award recognises and rewards new writing across fiction and non-fiction. A panel of literary experts, including novelists Hari Kunzru and Ali Smith, director Sir Richard Eyre and comedian Alexei Sayle chose the winner from a five-strong shortlist.

The shortlist included Susanna Clarke's Jonathan Strange and Mr Norrell, a novel about the magic arts at the turn of the 19th Century and The Places In Between, Rory Stewart's account of his trek, on foot, across Afghanistan. ""What we found so impressive about Armand Marie Leroi's book was the scope of its reference, its elegance and its inquisitiveness,"" said Ms Armistead, chair of the judges and the Guardian literary editor. ""While the subject matter of Mutants unsettled some involved in the judging process, the overwhelming majority found it fascinating,"" she added. Her words were echoed by Iris director Sir Richard Eyre who called Marie Leroi's work ""extraordinarily thought provoking"". The award, for first time authors, is open to books from genres including fiction, poetry, biography, memoir, history, politics, science and current affairs. Previous winners include White Teeth by Zadie Smith, in 2000, which went on to become a bestseller."
Arthur Hailey: King of the bestsellers,"Novelist Arthur Hailey, who has died at the age of 84, was known for his bestselling page-turners exploring the inner workings of various industries, from the hotels to high finance.

Born in Luton, Bedfordshire, on 5 April 1920, Hailey was the only child of working class parents, They could not afford to keep him in school beyond the age of 14. He served as a pilot with the Royal Air Force during World War II, flying fighter planes to the Middle East. It was an occupation that was later to feature in his authorial debut, the television screenplay Flight into Danger. Hailey emigrated to Canada in 1947, where he eventually became a citizen. He wanted to be a writer from an early age, but did not take it up professionally until his mid-thirties, when he was inspired to write his first screenplay while on a return flight to Toronto.

""I fell to daydreaming. I visualised the pilots at the controls and wondered what would happen if they both got sick. Could I fly the airplane? I was a rusty wartime pilot who hadn't flown for nine years... "" Hailey later recalled. The Canadian Broadcasting Corporation bought Flight into Danger for $600 (£318) and it was shown on TV in April 1956. It was later memorably spoofed in the 1980 comedy Airplane!, starring Leslie Nielsen. Hailey worked as a screenwriter for a couple of years, before turning to novels. He went on to produce 11 best-selling books, which were published into 38 languages in 40 countries. Flight into Danger was adapted to become Hailey's first novel, Runaway Zero-Eight in 1958. The Final Diagnosis and In High Places followed, both achieving a popular following. But it was not until Hotel, in 1965, that Hollywood came calling. The hit novel took four years to write, and stayed on national best-seller lists for a full year. It was turned into a movie in 1967 and later adapted into a glossy soap in the 1980s, starring James Brolin. Airport (1968) arguably remains Hailey's best-loved work and prompted the disaster movie genre. The thriller follows events in the sky, and on the ground at a snow-logged airport, when a terrorist boards an airplane with a bomb.

The book was adapted into a hit film in 1970, starring Burt Lancaster as the harassed aiport manager and Dean Martin as a womanising pilot, alongside Jean Seberg and Jacqueline Bisset. In a testament to the popularity of the fledgling disaster genre - three sequels followed. The writer was known for his painstaking research into the professions around which each novel was centred, drawing his characters ""from real life"" and taking up to three years to produce each book. ""I have never been able to write quickly or easily. I am too self-critical for that. I am never satisfied,"" he once said. In 1969, he moved to Nassau in the Bahamas, with his wife Sheila. Wheels (1971), The Moneychangers (1975) and Overload (1979) followed. Despite a lukewarm response from critics, and few literary accolades, Hailey was at the height of his fame in the seventies and continued to attract the attention of Hollywood producers. Strong Medicine, Hailey's blockbuster focusing on the pharmaceutical industry, was turned into a film in 1986, starring Sam Neill, Douglas Fairbanks Jr and a panoply of former soap stars. The 1997 novel Detective proved to be Hailey's final book, when at the age of 77 he decided to retire. Hailey's health began to deteriorate in recent years, twice undergoing heart surgery. He suffered a stroke just two months ago. He died in his sleep on Wednesday, after dinner with his wife and two of his six children at his home in New Providence island. ""He had a wonderful life. His greatest ambition was to see his name on a book and he certainly achieved that,"" said his wife, Sheila."
Spark heads world Booker list,"Dame Muriel Spark is among three British authors who have made the shortlist for the inaugural international Booker Prize.

Doris Lessing and Ian McEwan have also been nominated. McEwan and Margaret Atwood are the only nominees to have previously won the main Booker Prize. The new £60,000 award is open to writers of all nationalities who write in English or are widely translated. The prize commends an author for their body of work instead of one book.

Gabriel Garcia Marquez, Saul Bellow, Milan Kundera and John Updike also feature on the 18-strong list of world literary figures.

But other past winners of the regular Booker Prize, such as Salman Rushdie, JM Coetzee and Kazuo Ishiguro have failed to make the shortlist. The prize, which will be awarded in London in June, will be given once every two years. It will reward an author - who must be living - for ""continued creativity, development and overall contribution to fiction on the world stage"". An author can only win once. The international award was started in response to criticisms that the Booker Prize is only open to British and Commonwealth authors.



Margaret Atwood (Canada) Saul Bellow (Canada) Gabriel Garcia Marquez (Colombia) Gunter Grass (Germany) Ismail Kadare (Albania) Milan Kundera (Czech Republic) Stanislaw Lem (Poland) Doris Lessing (UK) Ian McEwan (UK) Naguib Mahfouz (Egypt) Tomas Eloy Martinez (Argentina) Kenzaburo Oe (Japan) Cynthia Ozick (US) Philip Roth (US) Muriel Spark (UK) Antonio Tabucchi (Italy) John Updike (US) Abraham B Yehoshua (Israel)"
Versace art portfolio up for sale,"The art collection of murdered fashion designer Gianni Versace could fetch up to £9m ($17m) when it is auctioned in New York and London later this year.

Among the pictures for sale are works by Roy Lichtenstein, Andy Warhol and Henri Matisse. The collection was housed at Versace's six-storey New York townhouse. The 51-year-old designer was shot outside his Florida home in 1997 by suspected serial killer Andrew Cunanan, who later killed himself. The auction, at Sotheby's, will feature 45 contemporary, impressionist and 19th Century paintings. One of the highlights of the sale is Roy Lichtenstein's Blue Nude which has been given an estimate of £1.8m ($3.4m).

Tobias Meyer, Sotheby's worldwide head of contemporary art, said: ""This collection reflects Mr Versace's wide-ranging taste and impeccable eye, and many of the works were commissioned directly from the artists. ""Outstanding later examples from champions of the Pop movement, such as Roy Lichtenstein, are juxtaposed with masterpieces from the most visible artists of the 1980's, including Jean-Michel Basquiat and the collaborative genius of Basquiat and Warhol, as well as Francesco Clemente."" Much of the collection will be offered for sale at three auctions in New York in June, with smaller contemporary paintings going under the hammer in London on 22 and 23 June. A sale of Versace's furniture and artworks sold in 2001fetched £5.5m ($10.3m)."
Slater to star in Broadway play,"Actor Christian Slater is stepping into the role of Tom in the Broadway revival of The Glass Menagerie.

Slater, 35, is replacing actor Dallas Roberts in the Tennessee Williams drama, which opens next month. No reason was given for Roberts' departure. The role will be played by understudy Joey Collins until Slater joins the show. Slater won rave reviews for his recent performance in One Flew Over the Cuckoo's Nest in London's West End.

He has also starred in a number of films, including Heathers, Robin Hood: Prince of Thieves and more recently Churchill: The Hollywood Years. Preview performances of The Glass Menagerie will begin at New York's Ethel Barrymore Theatre on Thursday. Philip Rinaldi, a spokesman for the show, said the play's 15 March opening date remains unchanged. The revival, directed by David Leveaux, will also star Jessica Lange as the domineering mother, Amanda Wingfield."
Public show for Reynolds portrait,"Sir Joshua Reynolds' Portrait of Omai will get a public airing following fears it would stay hidden because of an export wrangle.

The Tate Gallery unsuccessfully tried to buy the picture from its anonymous owner after a ban was issued preventing the painting from leaving the UK. The 18th Century painting has remained in storage but the owner has agreed to allow it to be part of an exhibition. The exhibition of Reynolds' work will be shown at Tate Britain from May. Joshua Reynolds: The Creation of Celebrity will feature prints, caricatures, and sculpture by the 18th Century artist, who painted some of the most famous personalities of his day. Portrait of Omai fetched the second highest amount for a British painting when it was sold at auction for £10.3m in 2001. It was bought by a London dealer who sold it on to a collector. The unnamed collector wanted to take it out of the country, but was barred from doing so by the government because of its historical significance.

In March 2004, the Tate managed to raise £12.5m funding to buy the portrait but the owner refused to sell and it has been held in storage since. The portrait is of a young man who was dubbed ""the noble savage"" when he arrived in London from Polynesia. He became a darling of London society and was invited to all the best parties by people who were fascinated by such an exotic character. Sir Joshua painted him after his arrival in 1774, and it became the artist's most famous work after it was first exhibited at the Royal Academy in 1776."
Obituary: Dame Alicia Markova,"Dame Alicia Markova, who has died in Bath aged 94, was the UK's first prima ballerina of the modern age, and, in her heyday, the greatest in the western world.

She was born Lilian Alicia Marks in London in 1910. Her parents were comfortably off - her father, a mining engineer, drove a Rolls Royce. When she was eight, her mother took a decision which changed her life. Fearing that she had flat feet and weak legs, she arranged for her to have ballet lessons. Very quickly it became apparent that she was something special. She was spotted by the Russian artistic impresario, Sergei Diaghilev, who wanted her to dance for his company, Ballets Russes. She became ill with diphtheria but kept in touch, and, eventually, with a governess in tow, joined Diaghilev in Monte Carlo when she was 14.

From here, she toured Europe, playing in all the top venues. It was Diaghilev who changed her name without even consulting her. Her life was one of great excitement. People such as Matisse and Stravinsky became like uncles to her, the latter put in charge of her musical education. Soon after Diaghilev's death in 1929, Alicia Markova returned to England and became Britain's first international ballerina. She helped launch the Ballet Club at the Mercury Theatre (later the Ballet Rambert), the Vic Wells Ballet, and then, with Anton Dolin, the Markova-Dolin Ballet of 1935-37. She also began working with young choreographers such as Anthony Tudor and Frederick Ashton who became huge influences on the direction of ballet in the west.

Her version of Giselle, all lightness and grace, is still considered to be among the finest ever. She was also outstanding in The Dying Swan. She was one of the first British ballerinas to take a major part in Les Sylphides. She, above all, helped popularise ballet both in Britain and in America.

Alicia Markova spent World War II in the United States where, in a re-formed Ballets Russes, she played to huge audiences. She even appeared in Hollywood movies. In 1950, back in England, she and Anton Dolin jointly established the Festival Ballet. She retired in 1963, an ""instant decision"" she said, ""largely because of a leg injury"". Created a Dame, she made a new career for herself as a teacher. She also travelled the world directing ballet companies and putting on shows. She became director of ballet for the Metropolitan Opera Ballet in New York, and for some years was full-time Professor of Ballet and Performing Arts in the University of Cincinnati. A critic once said of Dame Alicia Markova's dancing: ""She gave the illusion of moving as if she had no weight to get off the ground."""
Fears raised over ballet future,"Fewer children in the UK are following in the dainty footsteps of dancers like Darcey Bussell, and carving out potential careers as ballet dancers.

New research from the Royal Academy of Dance (RAD) has found fewer children over the age of 10 are attending ballet classes and taking exams in the discipline. The organisation blames the growing popularity of computer games and other changes in lifestyle. And there are fears that if the trend is not reversed, there could be fewer British ballet stars in the future. The RAD found that the number of youngsters taking their ballet exams drops by almost 70% after the age of 10 or 11. Dance teacher Eve Trew, who has taught ballet for over 48 years, told BBC News she had seen a ""vast"" change over the years. She blamed modern lifestyles for the fall in ballet attendance. ""I think the children of many years ago did not have as many hobbies,"" she said. ""The trouble now is that they are wide open to computers, Gameboys and everything else children have got. ""As a result, there is less time being spent on ballet lessons.""

Hazel Gilbert, 23, an information manager from Newcastle, gave up ballet at the age of 10 and is typical of the problem. ""It's not a very cool thing to do when you go to 'big' school and I think you have to be very focused on ballet to want to carry on doing it,"" she said. ""I used to love it, but after a certain age it becomes much more disciplined and I didn't want that. ""I started getting into other things, like swimming and kickboxing, and ballet just wasn't something I wanted to do any more."" Ms Trew, who runs a dance school in Gateshead, admitted it would be ""very difficult"" to reverse the trend and said many young ballet dancers were no longer willing to make the sacrifices to succeed. ""You have to be very dedicated and you have to be very disciplined. ""It is a career that you have got to really want to do because it is such hard work. ""Children these days have not got the time to spend perfecting it... that is very sad.""

Currently, only two out of 16 principal dancers at the Royal Ballet - Darcey Bussell and Jonathan Cope - are British, compared to 16 of the 21 principals in 1985. But a spokesman for the English National Ballet told BBC News that although only two out of their 12 principal dancers were British, around a quarter of the company's dancers were from the UK. He said competition at open auditions in London was ""fierce"" between talented dancers from all over the world. The RAD have launched a new competition to try and reverse the decline in British ballet. Dame Antoinette Sibley, president of the RAD, launched the Fonteyn Nureyev Young Dancers competition earlier this week.

Aimed at children aged 10 to 13, it is hoped the contest will help keep British ballet evolving. A spokeswoman for the RAD said: ""It is our responsibility to re-ignite the passion and nurture young dancers for the long-term future of ballet. ""We need to provide them with a framework and a goal to work towards, with constant support and coaching in an environment where they can work with their peers and possibly leading artists and choreographers. ""Perhaps more importantly provide them with the opportunity to experience 'performance' themselves. ""What better way to reignite a passion for ballet than to let them experience the thrill of performance?"""
